Title,Watchabilitty,Genre,,,
21,Hard,Drama,,,
300,Hard,Action,,,
10 things I hate about you,Medium,Romantic Comedy,,,
12 Rounds,Hard,Action,,,
2 Fast 2 Furious,Medium,Action,,,
21 Jump Street,Easy,Comedy,,,
22 Jump Street,Easy,Comedy,,,
28 Days Later,Hard,Horror,,,
28 Weeks Later,Hard,Horror,,,
3:10 to Yuma,Hard,Drama,,,
8 Mile,Medium,Drama,,,S
Aladdin,Easy,Animated ,,,
Aladdin - King of Thieves ,Easy,Animated ,,,
Aladdin - Return of Jafer ,Easy,Animated ,,,
Alpha Dog,Hard,Drama,,,
"Amazing Spider-Man, The",Medium,Super Hero,,,
Anastasia,Easy,Animated ,,,
Annapolis,Hard,Drama,,,
Ant-man,Medium,Super Hero,,,
Ant-man and the Wasp,Medium,Super Hero,,,
Antz,Easy,Animated ,,,
Armageddon,Medium,Drama,,,
"Assassination of Jess James by the Coward Robert Ford, The",Hard,Drama,,,
Atlantis ,Easy,Animated ,,,
August Rush,Easy,Drama,,,
Avatar,Hard,Drama,,,
Avengers Age of Ultron,Medium,Super Hero,,,
Avengers Endgame,Medium,Super Hero,,,
Avengers Infinity War,Medium,Super Hero,,,
"Avengers, The",Medium,Super Hero,,,
Bad Teacher,Medium,Comedy,,,
Batman & Robin,Hard,Super Hero,,,
Batman Begins,Hard,Super Hero,,,
Batman vs Superman,Hard,Super Hero,,,
Battleship,Hard,Action,,,
Beauty and the Beast,Easy,Animated ,,,
"Beauty and the Beast, Emma Watson",Medium,Drama,,,
Big,Hard,Comedy,,,
Billy Madison,Medium,Comedy,,,
Blow,Hard,Drama,,,
Book of Life,Easy,Animated ,,,
"Boondock Saints, The",Hard,Drama,,,
Boss Baby,Easy,Animated ,,,
"Bounty Hunter, The",Hard,Comedy,,,
"Bourne Identity, The",Medium,Action,,,
"Bourne Legacy, The",Medium,Action,,,
"Bourne Supremacy, The",Medium,Action,,,
"Bourne Ultimatum, The",Medium,Action,,,
"Bugs Life, A",Easy,Animated ,,,
Burlesque,Medium,Romantic Comedy,,,
Captain America Civil War,Medium,Super Hero,,,
Captain America The First Avenger,Medium,Super Hero,,,
Captain America The Winter Soldier,Medium,Super Hero,,,
Casino Royale,Hard,Drama,,,
Catch me if you can,Medium,Drama,,,
Chicago,Hard,Drama,,,
Christmas Vacation ,Medium,Comedy,,,
"Cinderella, Cartoon",Medium,Animated ,,,
"Cinderella, Live action 1965",Medium,Drama,,,
"Cinderella, Live action 2015",Medium,Drama,,,
Clash of the Titans,Medium,Action,,,
Classic Christmas Favorites,Medium,Animated ,,,
Click,Hard,Comedy,,,
Clueless,Hard,Comedy,,,
Cocktail,Hard,Drama,,,
Cool Runnings,Medium,Comedy,,,
Crazy Stupid Love,Medium,Romantic Comedy,,,
Creed,Hard,Drama,,,
Creed 2,Hard,Drama,,,
"Croods, The",Easy,Animated ,,,
Cruel Intentions,Medium,Drama,,,
"Dark Knight Rises, The",Medium,Super Hero,,,
"Dark Knight, The",Medium,Super Hero,,,
"Day After Tomorrow, The",Hard,Drama,,,
Deep Blue Sea,Hard,Action,,,
"Definitely, maybe",Hard,Romantic Comedy,,,
"Departed, The",Hard,Drama,,,
Derailed,Hard,Drama,,,
Despicable me,Easy,Animated ,,,
Despicable Me 2,Easy,Animated ,,,
Dirty Dancing,Hard,Drama,,,
District 9,Hard,Drama,,,
Divergent,Hard,Drama,,,
Doctor Strange,Medium,Super Hero,,,
Dodgeball,Medium,Comedy,,,
Driven,Hard,Drama,,,
Dumb and Dumber,Hard,Comedy,,,
Dumb and Dumberer,Hard,Comedy,,,
Easy A,Medium,Comedy,,,
Equalizer ,Hard,Drama,,,
Fast & Furious,Medium,Action,,,
Fast & Furious 6,Medium,Action,,,
"Fast and the Furious Toyko Drift, The",Medium,Action,,,
"Fast and the Furious, The",Medium,Action,,,
Fast Five,Medium,Action,,,
Fast Times at Ridgemont High,Medium,Comedy,,,
"Fighter, The",Hard,Drama,,,
Finding Nemo,Easy,Animated ,,,
Flyboys,Hard,Drama,,,
Four Brothers,Hard,Drama,,,
Four Christmases,Hard,Romantic Comedy,,,
Fracture,Hard,Drama,,,
Frozen ,Easy,Animated ,,,
Furious 7,Medium,Action,,,
G.I. Joe the Rise of Cobra,Hard,Action,,,
Gran Torino,Hard,Drama,,,
Grease,Hard,Romantic Comedy,,,
Green Lantern,Hard,Super Hero,,,
"Green Mile, The",Hard,Drama,,,
Grown Ups,Medium,Comedy,,,
Grown Ups 2,Medium,Comedy,,,
Guadians of the Galaxy,Medium,Super Hero,,,
Guadians of the Galaxy Vol. 2,Medium,Super Hero,,,
"Guardian, The",Hard,Drama,,,
Hancock,Hard,Comedy,,,
"Hangover Part II, The",Hard,Comedy,,,
"Hangover, The",Hard,Comedy,,,
Hansel & Gretel,Hard,Horror,,,
Happy Gilmore,Medium,Comedy,,,
Harry Potter series,Hard,Drama,,,
He's just not that into you,Hard,Romantic Comedy,,,
Head over Heels,Hard,Comedy,,,
Hellboy,Hard,Action,,,
Hellboy II The Golden Army,Hard,Action,,,
Hercules,Easy,Animated ,,,
Hocus Pocus,Medium,Comedy,,,
Hook,Hard,Comedy,,,
Horrible Bosses,Medium,Comedy,,,
Hotel Transylvania ,Easy,Animated ,,,
How to train your Dragon,Easy,Animated ,,,
How to Train your Dragon 2,Easy,Animated ,,,
How to train your Dragon 3,Easy,Animated ,,,
"Hunchback of Notre Dame, The",Easy,Animated ,,,
"Hunger Games Catching Fire, The",Medium,Drama,,,
"Hunger Games Mockingjay part one, The",Medium,Drama,,,
"Hunger Games Mockingjay part two, The",Medium,Drama,,,
"Hunger Games, The",Medium,Drama,,,
Huntsman: Winter's War ,Hard,Drama,,,
I am Legend,Hard,Drama,,,
I am Number Four,Hard,Drama,,,
I love you Man,Hard,Comedy,,,
"I,robot",Hard,Drama,,,
Ice Age,Easy,Animated ,,,
Ice Age the meltdown,Easy,Animated ,,,
Identity,Hard,Comedy,,,
Idiocracy,Hard,Comedy,,,
In Good Company,Hard,Drama,,,
In Time,Hard,Drama,,,
Inception ,Hard,Drama,,,
Indepence Day,Hard,Action,,,
Inglourious Bastaerds,Hard,Drama,,,
"Intern, The",Medium,Comedy,,,
Interstellar,Hard,Drama,,,
Invincible ,Hard,Drama,,,
Iron Man,Medium,Super Hero,,,
Iron Man 2,Medium,Super Hero,,,
Iron Man 3,Medium,Super Hero,,,
"Italian job, The",Medium,Drama,,,
Jack Reacher,Hard,Action,,,
Jason Bourne,Medium,Drama,,,
Jumanji,Hard,Comedy,,,
Jurassic Park Trilogy,Hard,Action,,,
Jurassic World,Hard,Action,,,
Kindergarten Cop,Hard,Drama,,,
Kingsman: The Secret Service,Hard,Action,,,
"Knights Tale, A",Medium,Drama,,,
Law Abiding Citizen,Hard,Drama,,,
Lawless,Hard,Drama,,,
Liar Liar,Hard,Comedy,,,
Life,Hard,Comedy,,,
Limitless,Hard,Drama,,,
"Lincoln Lawyer, The",Hard,Drama,,,
"Lion King, The",Easy,Animated ,,,
"Little Mermaid, The",Easy,Animated ,,,
Logan,Hard,Super Hero,,,
London Has Fallen,Hard,Drama,,,
Lord of the Rings series,Hard,Drama,,,
Lucky # Slevin,Hard,Drama,,,
Maleficent,Medium,Drama,,,
Man of Steel,Hard,Super Hero,,,
Man on a Ledge,Hard,Drama,,,
"Martian, The",Hard,Drama,,,
"Mask, The",Hard,Comedy,,,
"Maze Runner, The",Hard,Drama,,,
"Maze Runner, The Death Cure",Hard,Drama,,,
"Maze Runner, The Scorch Trials",Hard,Drama,,,
Men in Black ,Medium,Comedy,,,
Men in Black 3,Medium,Comedy,,,
Men in Black II,Medium,Comedy,,,
Men of Honor,Hard,Drama,,,
Minions,Easy,Animated ,,,
Miracle,Medium,Drama,,,
Mirror Mirror,Hard,Comedy,,,
Mission Impossible Ghost Protocol,Hard,Drama,,,
Mission Impossible Series,Hard,Drama,,,
Moneyball,Hard,Drama,,,
"Monsters, Inc.",Easy,Animated ,,,
Mosters University,Easy,Animated ,,,
Mulan,Easy,Animated ,,,
"Mummy Returns, The",Hard,Drama,,,
"Mummy, The",Hard,Drama,,,
"Mummy: Tomb of the dragon emperor, The",Hard,Drama,,,
My cousin Vinny,Medium,Comedy,,,
No Country for Old Men,Hard,Drama,,,
"Notebook, The",Medium,Drama,,,
Now you see me,Hard,Drama,,,
"Number 23, The",Hard,Drama,,,
Ocean's Eleven,Hard,Drama,,,
Oklahoma!,Hard,Drama,,,
Olympus has Fallen,Hard,Drama,,,
Overboard,Hard,Comedy,,,
Pandorum ,Hard,Drama,,,
Pearl Harbor,Hard,Drama,,,
"Perfect Man, The",Hard,Romantic Comedy,,,
Pirates of the Caribbean at Worlds End,Hard,Drama,,,
Pirates of the Caribbean Dead Man's Chest,Hard,Drama,,,
Pirates of the Caribbean The Curse of the Black Pearl,Hard,Drama,,,
Pitch Perfect,Easy,Comedy,,,
Pitch Perfect 2,Easy,Comedy,,,
Pitch Perfect 3,Easy,Comedy,,,
Pleasantville,Hard,Drama,,,
Pocahontas,Easy,Animated ,,,
Predators,Hard,Horror,,,
"Prestige, The",Hard,Drama,,,
Pretty Women,Medium,Drama,,,
"Princess Bride, The",Hard,Drama,,,
Prometheus,Hard,Drama,,,
Public Enemies,Hard,Drama,,,
"Pursuit of Happyness, The",Hard,Drama,,,
Quantum of Solace,Hard,Drama,,,
Ratatouille,Easy,Animated ,,,
Real Steel,Hard,Drama,,,
Reign of Fire,Hard,Drama,,,
Remember the Titans,Medium,Drama,,,
Risky Business,Hard,Drama,,,
Rocky Balboa,Hard,Drama,,,
Romy and Michele's High School Reunion,Hard,Comedy,,,
Running Scared,Hard,Drama,,,
Safe House,Hard,Drama,,,
"Santa Clause, The",Hard,Comedy,,,
Savages,Hard,Drama,,,
Secondhand Lions,Easy,Drama,,,
Seven Pounds,Hard,Drama,,,
Sherk,Easy,Animated ,,,
Sherk 2,Easy,Animated ,,,
Sherlock Holmes,Hard,Drama,,,
Sherlock Holmes a Game of Shadows,Hard,Drama,,,
Shooter,Hard,Drama,,,
Silver Linings Playbook,Medium,Drama,,,
"Simpson Movie, The",Medium,Animated ,,,
Sing,Easy,Animated ,,,
"Six Days, Seven Nights",Hard,Drama,,,
Skyfall,Hard,Drama,,,
"Slammin' Salmon, The",Medium,Comedy,,,
Sleeping Beauty,Easy,Animated ,,,
Snow White,Easy,Animated ,,,
Snow White & Huntsman,Hard,Drama,,,
Social Network,Hard,Drama,,,
Southpaw,Hard,Drama,,,
Space Jam,Hard,Animated ,,,
Spectre,Hard,Drama,,,
Spiderman Homecoming,Medium,Super Hero,,,
Star Trek,Medium,Drama,,,
Star Trek Beyond,Medium,Drama,,,
Star Trek into Darkness,Medium,Drama,,,
Storks,Easy,Animated ,,,
Suicide Squad,Medium,Super Hero,,,
Super Troopers,Medium,Comedy,,,
Superbad,Medium,Comedy,,,
"Swan Princess, The",Easy,Animated ,,,
Taken,Medium,Drama,,,
Taken 2,Hard,Drama,,,
Taken 3,Hard,Drama,,,
Tangled,Easy,Animated ,,,
Tarzen,Easy,Animated ,,,
"Tarzen, live action 2016",Medium,Drama,,,
Terminator Salvation,Hard,Drama,,,
The Secret Life of Pets,Easy,Animated ,,,
There will be blood,Hard,Drama,,,
Thor,Medium,Super Hero,,,
Thor Ragnorok,Medium,Super Hero,,,
Thor The Dark World,Medium,Super Hero,,,
Thumbelina,Easy,Animated ,,,
"Time Machine, The",Hard,Drama,,,
Titanic,Hard,Drama,,,
Top Gun,Hard,Action,,,
"Town, The",Hard,Drama,,,
Toy Story,Medium,Animated ,,,
Transformer Age of Extinction,Hard,Action,,,
Transformers,Hard,Action,,,
Transformers Dark of the Moon,Hard,Action,,,
Transformers Revenge of the Fallen,Hard,Action,,,
Tron Legacy,Hard,Drama,,,
Trubo,Easy,Animated ,,,
Twilight,Medium,Drama,,,
Underworld,Hard,Action,,,
Underworld Awakening,Hard,Action,,,
Underworld Bloodwars,Hard,Action,,,
Underworld Evolution,Hard,Action,,,
Underworld Rise of the Lycons,Hard,Action,,,
Unstoppable,Hard,Drama,,,
Up,Easy,Animated ,,,
Vacation,Medium,Comedy,,,
Varisty Blues,Hard,Drama,,,
Vegas Vacation,Medium,Comedy,,,
Venom,Medium,Super Hero,,,
Walk the Line,Hard,Drama,,,
"Walk to Remember, A",Medium,Drama,,,
Walking Tall,Hard,Drama,,,
"War of the Roses, The",Hard,Drama,,,
"Waterboy, The",Medium,Comedy,,,
We are Marshall,Hard,Drama,,,
Wedding Crashers,Hard,Comedy,,,
White Men Can't Jump,Hard,Drama,,,
Whtie House Down,Hard,Drama,,,
Wildthings,Hard,Drama,,,
Willy Wonka & the Choclate Facotry ,Hard,Drama,,,
"Wizard of Oz, The",Hard,Drama,,,
"Wolverine, The",Hard,Super Hero,,,
Wonder Women,Hard,Super Hero,,,
World War Z,Hard,Drama,,,
Wrath of the Titans,Medium,Action,,,
Wreck It Ralph,Easy,Animated ,,,
X-Men,Hard,Super Hero,,,
X-Men Apocalypse,Hard,Super Hero,,,
X-Men Days of Future Past,Hard,Super Hero,,,
X-Men First Class,Hard,Super Hero,,,
X-Men Origins Wolverine,Hard,Super Hero,,,
X-Men The Last Stand,Hard,Super Hero,,,
X2: X-Men United,Hard,Super Hero,,,
Zombieland,Medium,Comedy,,,